,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL
210,P49040,المستلزمات الشتوية للأسر المتعففة,"95,000ر.س",02/12/2024,190,المواطنون,"8,565",جمعية البر الخيرية بمركز شعبة نصاب,الشعبة,https://ehsan.sa/projects/0/48041?amount=null
211,P49033,الكفالة التعليمية للطلاب المتعففين,"80,000ر.س",01/12/2024,40,المواطنون,"6,998",جمعية التنمية الاهلية بحي الموظفين ومدينة سلطان,مدينة سلطان,https://ehsan.sa/projects/0/48034?amount=null
212,P49015,الرعاية الصحية لمرضى السرطان,"90,000ر.س",30/11/2024,90,المواطنون,"5,793",جمعية بلسم الاهلية لمساندة مرضى السرطان بالقصيم,بريدة,https://ehsan.sa/projects/0/48016?amount=null
213,P49017,الكفالة التعليمية للطلاب المتعففين,"217,035ر.س",30/11/2024,63,المواطنون,"13,121",جمعية دعم التعليم تعلم,الرياض,https://ehsan.sa/projects/0/48018?amount=null
214,P49028,توفير البطانيات للأسر المتعففة,"104,650ر.س",29/11/2024,299,المواطنون,"6,854",الجمعية البر الخيرية بمركز العويلة,العويلة,https://ehsan.sa/projects/0/48029?amount=null
215,P49010,سقيا الماء لضيوف الرحمن,"320,000ر.س",29/11/2024,"320,000",المواطنون والمقيمون بالمملكة,"24,455",جمعية سقيا الحاج والمعتمر,مكة المكرمة,https://ehsan.sa/projects/0/48011?amount=null
216,P49026,كسوة الشتاء لأسر السجناء,"100,000ر.س",29/11/2024,199,المواطنون,"7,966",جمعية إندماج لتأهيل النزيل بمنطقة الرياض,الرياض,https://ehsan.sa/projects/0/48027?amount=null
217,P49025,توفير البطانيات للأسر المتعففة,"87,000ر.س",29/11/2024,417,المواطنون,"4,970",جمعية البر الخيرية بقبه,قبة,https://ehsan.sa/projects/0/48026?amount=null
218,P49013,عملية زراعة قوقعة إلكترونية لطفل,"150,000ر.س",29/11/2024,1,المقيمون بالمملكة,"9,031",جمعية الأطفال زارعي القوقعة,الرياض,https://ehsan.sa/projects/0/48014?amount=null
219,P48998,الأجهزة الطبية للمرضى المتعففين,"200,200ر.س",29/11/2024,44,المواطنون,"12,344",جمعية همة لذوي الاعاقة,السليل,https://ehsan.sa/projects/0/47999?amount=null
220,P49006,توفير الدفايات لكبار السن,"100,000ر.س",28/11/2024,400,المواطنون,"7,148",جمعية المتقاعدين بحائل,حائل,https://ehsan.sa/projects/0/48007?amount=null
221,P49008,إعانة أسر السجناء,"42,000ر.س",27/11/2024,7,المواطنون,"2,385",جمعية البر الخيرية بالعطيف,العطيف,https://ehsan.sa/projects/0/48009?amount=null
222,P49002,الكفالة التعليمية للطلاب المتعففين,"143,600ر.س",27/11/2024,101,المواطنون,"6,098",جمعية تحقيق التراث العلمي,حائل,https://ehsan.sa/projects/0/48003?amount=null
223,P48988,سداد إيجار منازل الأسر المتعففة,"200,000ر.س",27/11/2024,20,المواطنون,"9,221",جمعية مساكن بالليث,الليث,https://ehsan.sa/projects/0/47989?amount=null
224,P48981,ترميم مساكن الأسر المتعففة,"195,000ر.س",27/11/2024,12,المواطنون,"13,182",جمعية ساكن التنموي بجازان,صبياء,https://ehsan.sa/projects/0/47982?amount=null
225,P48835,علاج مرضى سرطان الثدي,"500,000ر.س",27/11/2024,8,المقيمون بالمملكة,"37,310",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47836?amount=null
226,P48999,دعم المقبلين على الزواج,"65,000ر.س",27/11/2024,13,المواطنون,"3,681",جمعية زواج الخيرية ورعاية الاسرة بالباحة فرح,بلجرشي,https://ehsan.sa/projects/0/48002?amount=null
227,P49003,عملية قلب مفتوح لمريضة متعففة,"126,500ر.س",27/11/2024,1,المواطنون والمقيمون بالمملكة,"7,070",جمعية رعاية مرضى القلب,الرياض,https://ehsan.sa/projects/0/48004?amount=null
228,P48986,سقيا الماء للأسر المتعففة,"390,000ر.س",27/11/2024,"1,000",المواطنون والمقيمون بالمملكة,"36,435",جمعية إحسان لحفظ النعمة بمحافظة صبيا,جازان,https://ehsan.sa/projects/0/47987?amount=null
229,P49005,تعليم القرآن الكريم للطلاب,"13,083ر.س",26/11/2024,147,المواطنون والمقيمون بالمملكة,885,الجمعية الخيرية لتحفيظ القرآن الكريم بمحافظة السليل,السليل,https://ehsan.sa/projects/0/48006?amount=null
230,P48993,الكفالة التعليمية للطلاب,"100,000ر.س",26/11/2024,50,المواطنون,"9,205",عِلم,بيشة,https://ehsan.sa/projects/0/47994?amount=null
231,P48990,رحلات العمرة للمتعففين,"58,500ر.س",26/11/2024,294,المواطنون والمقيمون بالمملكة,"5,410",جمعية الدعوة والإرشاد وتوعية الجاليات بالقرين,القرين,https://ehsan.sa/projects/0/47991?amount=null
232,P48987,دعم حلقات تحفيظ القرآن الكريم,"100,000ر.س",26/11/2024,16,المواطنون والمقيمون بالمملكة,"8,983",جمعية تحبير لتحفيظ القرآن بمركز الشعبة,شعبة نصاب,https://ehsan.sa/projects/0/47988?amount=null
233,P48974,دعوة غير المسلمين,"350,000ر.س",26/11/2024,"4,850",المواطنون والمقيمون بالمملكة,"27,562",جمعية هدية عالم,الرياض,https://ehsan.sa/projects/0/47975?amount=null
234,P48996,عملية زراعة قوقعة إلكترونية لطفل,"150,000ر.س",25/11/2024,1,المقيمون بالمملكة,"2,458",جمعية الأطفال زارعي القوقعة,جدة,https://ehsan.sa/projects/0/47997?amount=null
235,P48989,عملية جراحية لمصاب بجلطة قلبية,"25,334ر.س",24/11/2024,1,المقيمون بالمملكة,"1,539",جمعية الإحسان الطبية الخيرية,جازان,https://ehsan.sa/projects/0/47990?amount=null
236,P48942,تأثيث منازل المتعففين,"335,330ر.س",24/11/2024,34,المواطنون,"30,111",جمعية دار للإسكان بعرعر,عرعر,https://ehsan.sa/projects/0/47943?amount=null
237,P48984,تمكين الأسر المتعففة,"280,000ر.س",23/11/2024,40,المواطنون,"22,509",جمعية الأسر المنتجة بمنطقة جازان,جازان,https://ehsan.sa/projects/0/47985?amount=null
238,P48849,تموين الأسر المتعففة,"36,000ر.س",23/11/2024,24,المواطنون والمقيمون بالمملكة,"1,569",جمعية البر الخيرية بحفر الباطن,حفر الباطن,https://ehsan.sa/projects/0/47850?amount=null
239,P48952,تأمين وسائل النقل للمتعففين,"66,000ر.س",22/11/2024,110,المواطنون,"7,223",جمعية التنمية الأهلية بأحياء الصالحية وتوابعها,الأحساء,https://ehsan.sa/projects/0/47953?amount=null
240,P48967,السلال الغذائية للأسر المتعففة,"164,800ر.س",22/11/2024,206,المواطنون,"10,848",جمعية حواء النسائية,عقلة الصقور,https://ehsan.sa/projects/0/47968?amount=null
241,P48983,دعم المقبلين على الزواج,"35,000ر.س",22/11/2024,7,المواطنون,"2,350",جمعية البر الخيرية بالصلصلة,الصلصلة,https://ehsan.sa/projects/0/47984?amount=null
242,P48966,تعليم القرآن الكريم للأطفال,"161,100ر.س",22/11/2024,30,المواطنون,"14,493",الجمعية الخيرية لتحفيظ القران الكريم بمحافظة بدر,بدر,https://ehsan.sa/projects/0/47967?amount=null
243,P48985,استئصال الغدة الدرقية لمريضة متعففة,"15,000ر.س",21/11/2024,1,المقيمون بالمملكة,"1,033",جمعية الإحسان الطبية الخيرية,جازان,https://ehsan.sa/projects/0/47986?amount=null
244,P48944,تمكين الأسر المنتجة,"300,000ر.س",21/11/2024,10,المواطنون,"34,838",جمعية الأسر المنتجة بمنطقة حائل انتاج,حائل,https://ehsan.sa/projects/0/47945?amount=null
245,P48901,الكسوة الشتوية للأسر المتعففة,"148,500ر.س",21/11/2024,297,المواطنون,"13,462",جمعية خبرات التعليمية بمركز الحكامية,احدالمسارحة,https://ehsan.sa/projects/0/47902?amount=null
246,P48961,سداد إيجار منازل الأسر المتعففة,"158,400ر.س",20/11/2024,11,المواطنون,"8,652",جمعية رعاية الايتام بمحافظة الحجرة,الحجرة,https://ehsan.sa/projects/0/47962?amount=null
247,P48949,الكسوة الشتوية للأسر المتعففة,"108,000ر.س",15/11/2024,180,المواطنون,"8,498",جمعية البر الخيرية بالهمجة,النبهانية,https://ehsan.sa/projects/0/47950?amount=null
248,P48960,سقيا الماء لضيوف الرحمن,"100,000ر.س",15/11/2024,"100,000",المواطنون والمقيمون بالمملكة,"9,656",صلة للخدمات الانسانية بغرب مكه,مكة المكرمة,https://ehsan.sa/projects/0/47961?amount=null
249,P48945,السلال الغذائية للأسر المتعففة,"118,000ر.س",14/11/2024,472,المواطنون,"7,383",جمعية البر الخيرية بأحد ثربان,أحد ثربان,https://ehsan.sa/projects/0/47946?amount=null
250,P48938,سقيا الماء لضيوف الرحمن,"500,000ر.س",13/11/2024,"500,000",المواطنون والمقيمون بالمملكة,"42,257",جمعية البر الخيرية بذهبان,مكة المكرمة,https://ehsan.sa/projects/0/47939?amount=null
251,P48931,طباعة المصاحف,"750,000ر.س",13/11/2024,"25,000",المقيمون بالمملكة,"63,405",مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,المدينة المنورة,https://ehsan.sa/projects/0/47932?amount=null
252,P48936,الكفالة التعليمية للطلاب المتعففين,"136,200ر.س",11/11/2024,15,المواطنون,"12,271",جمعية البر الخيرية بمحافظة قرية العليا,قرية العليا,https://ehsan.sa/projects/0/47937?amount=null
253,P48932,الرعاية الصحية لكبار السن,"113,400ر.س",08/11/2024,27,المواطنون,"7,599",جمعية الخدمات الانسانية والاجتماعية بمركز الصليبي,النبهانية,https://ehsan.sa/projects/0/47933?amount=null
254,P48935,المستلزمات الشتوية للأسر المتعففة,"60,000ر.س",08/11/2024,107,المواطنون,"3,075",جمعية الخدمات الاجتماعية بمركز المغار,الحائط,https://ehsan.sa/projects/0/47936?amount=null
255,P48928,وجبات الطعام للأسر المتعففة,"227,500ر.س",08/11/2024,650,المواطنون,"16,985",جمعية إكرام النعم بمحافظة الرس,الرس,https://ehsan.sa/projects/0/47929?amount=null
256,P48923,دعم المقبلين على الزواج,"260,000ر.س",08/11/2024,13,المواطنون,"21,042",الجمعية الخيرية بتربة,تربة,https://ehsan.sa/projects/0/47924?amount=null
257,P48924,إعانة أسر السجناء,"132,000ر.س",08/11/2024,22,المواطنون,"10,250",جمعية التنمية الأهلية بمزهرة,الحكامية,https://ehsan.sa/projects/0/47925?amount=null
258,P48927,سقيا الماء لضيوف الرحمن,"500,000ر.س",08/11/2024,"500,000",المواطنون والمقيمون بالمملكة,"45,118",جمعية البر الخيرية بالقنفذة,مكة المكرمة,https://ehsan.sa/projects/0/47928?amount=null
259,P48922,العمليات الجراحية للمتعففين,"300,000ر.س",08/11/2024,3,المواطنون والمقيمون بالمملكة,"19,957",جمعية زمزم الصحية,جدة,https://ehsan.sa/projects/0/47923?amount=null
260,P48921,تأثيث منازل المتعففين,"111,294ر.س",08/11/2024,9,المواطنون,"10,292",جمعية سكني الجميل بجازان,الحكامية,https://ehsan.sa/projects/0/47922?amount=null
261,P48920,ترميم مساكن الأسر المتعففة,"140,000ر.س",07/11/2024,7,المواطنون,"10,290",جمعية البر والخدمات الاجتماعية بالمندق,المندق,https://ehsan.sa/projects/0/47921?amount=null
262,P48906,تيسير نقل المرضى المتعففين,"252,000ر.س",06/11/2024,70,المواطنون والمقيمون بالمملكة,"21,276",جمعية تداوي الصحية بمحافظة بشرورة,شرورة,https://ehsan.sa/projects/0/47907?amount=null
263,P48917,التكفل بالعمرة للمتعففين,"150,000ر.س",05/11/2024,183,المواطنون,"12,261",جمعية المتقاعدين بمنطقة القصيم,بريدة,https://ehsan.sa/projects/0/47918?amount=null
264,P48919,دعم حلقات تحفيظ القرآن الكريم,"46,000ر.س",04/11/2024,23,المواطنون والمقيمون بالمملكة,"4,082",الجمعية الخيرية لتحفيظ القرآن الكريم بصوير,صوير,https://ehsan.sa/projects/0/47920?amount=null
265,P48908,التكفل بالعمرة للمتعففين,"200,000ر.س",03/11/2024,93,المواطنون والمقيمون بالمملكة,"17,441",جمعية الدعوة والإرشاد وتوعية الجاليات بالمحاني,الطائف,https://ehsan.sa/projects/0/47914?amount=null
266,P48905,الرعاية الصحية لمرضى الفشل الكلوي,"300,000ر.س",02/11/2024,50,المواطنون والمقيمون بالمملكة,"12,474",الجمعية الخيرية لرعاية المصابين بالأمراض المزمنة شفاء,مكة المكرمة,https://ehsan.sa/projects/0/47906?amount=null
267,P48896,طباعة المصاحف,"750,000ر.س",02/11/2024,"25,000",المواطنون والمقيمون بالمملكة,"58,841",مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,المدينة المنورة,https://ehsan.sa/projects/0/47897?amount=null
268,P48889,الفسحة المدرسية لطلاب الأسر المتعففة,"354,000ر.س",01/11/2024,708,المواطنون والمقيمون بالمملكة,"25,581",جمعية الريان الخيرية بوادي جازان,الريان,https://ehsan.sa/projects/0/47890?amount=null
269,P48907,أجهزة تنقية المياه للمتعففين,"50,000ر.س",01/11/2024,50,المواطنون والمقيمون بالمملكة,"4,859",سقيا الماء بالجوف,سكاكا,https://ehsan.sa/projects/0/47908?amount=null
270,P48894,التكفل بالعمرة للمتعففين,"120,000ر.س",31/10/2024,499,المواطنون والمقيمون بالمملكة,"8,536",جمعية الدعوة والإرشاد وتوعية الجاليات بالعقيق,العقيق,https://ehsan.sa/projects/0/47895?amount=null
271,P48874,أجهزة تنقية المياه للمتعففين,"180,200ر.س",31/10/2024,340,المواطنون,"18,461",الجمعية الخيرية بوادي قيا,بقياء,https://ehsan.sa/projects/0/47875?amount=null
272,P48904,عملية قلب مفتوح لمريض متعفف,"62,000ر.س",30/10/2024,1,المقيمون بالمملكة,"3,434",جمعية الإحسان الطبية الخيرية,جازان,https://ehsan.sa/projects/0/47905?amount=null
273,P48897,الأجهزة الطبية للمرضى المتعففين,"100,000ر.س",30/10/2024,353,المواطنون,"2,284",جمعية لطف لرعاية مرضى الطب المنزلي,جازان,https://ehsan.sa/projects/0/47898?amount=null
274,P48883,دعم الأسر المنتجة,"100,000ر.س",29/10/2024,20,المواطنون,"8,819",جمعية التنمية الأهلية بمحافظة ظهران الجنوب,ظهران الجنوب,https://ehsan.sa/projects/0/47884?amount=null
275,P48888,وجبات الطعام للأسر المتعففة,"99,000ر.س",28/10/2024,135,المواطنون والمقيمون بالمملكة,"6,128",جمعية حوائج لحفظ النعمة,الرياض,https://ehsan.sa/projects/0/47889?amount=null
276,P48878,العمليات الجراحية لمرضى العيون,"210,000ر.س",27/10/2024,30,المواطنون والمقيمون بالمملكة,"14,423",جمعية عيوني الصحية,الرياض,https://ehsan.sa/projects/0/47879?amount=null
277,P48885,سقيا الماء لضيوف الرحمن,"390,000ر.س",27/10/2024,"390,000",المواطنون والمقيمون بالمملكة,"28,417",جمعية التنمية الأهلية بالعرضية الشمالية,مكة المكرمة,https://ehsan.sa/projects/0/47886?amount=null
278,P48879,كفالة الأرامل والمطلقات,"159,000ر.س",27/10/2024,159,المواطنون,"9,988",جمعية البر الخيرية بأحد ثربان,أحد ثربان,https://ehsan.sa/projects/0/47880?amount=null
279,P48854,الأجهزة الكهربائية للمتعففين,"300,000ر.س",26/10/2024,74,المواطنون والمقيمون بالمملكة,"24,811",جمعية غياث للاغاثة والطوارئ,صبياء,https://ehsan.sa/projects/0/47855?amount=null
280,P48869,السلال الغذائية للأسر المتعففة,"180,000ر.س",25/10/2024,300,المواطنون,"11,811",جمعية البر الخيرية بالحفير,الحفير,https://ehsan.sa/projects/0/47873?amount=null
281,P48882,عملية ترميم الرباط الصليبي لمريض متعفف,"29,693ر.س",25/10/2024,1,المواطنون والمقيمون بالمملكة,"2,147",جمعية الإحسان الطبية الخيرية,جازان,https://ehsan.sa/projects/0/47883?amount=null
282,P48867,كسوة الأسر المتعففة,"100,000ر.س",25/10/2024,69,المواطنون,"6,621",جمعية التنمية الأهلية بالظبية,صبياء,https://ehsan.sa/projects/0/47868?amount=null
283,P48880,كفالة مغسلي ومغسلات الجنائز,"51,400ر.س",24/10/2024,6,المواطنون والمقيمون بالمملكة,"2,642",جمعية سلوان لإكرام الموتى,محايل عسير,https://ehsan.sa/projects/0/47881?amount=null
284,P48868,سقيا الماء للأسر المتعففة,"225,000ر.س",24/10/2024,180,المواطنون والمقيمون بالمملكة,"20,950",الامير مشعل بن عبدالله لذوي الاحتياجات الخاصة شمعة أمل,نجران,https://ehsan.sa/projects/0/47869?amount=null
285,P48864,سقيا الماء للأسر المتعففة,"195,000ر.س",20/10/2024,"15,000",المواطنون والمقيمون بالمملكة,"18,885",جمعية إكرام النعم بمحافظة الرس,الرس,https://ehsan.sa/projects/0/47865?amount=null
286,P48848,وجبات الطعام للأسر المتعففة,"300,000ر.س",20/10/2024,"20,000",المواطنون والمقيمون بالمملكة,"25,915",جمعية حفظ النعمة بمنطقة مكة المكرمة,جدة,https://ehsan.sa/projects/0/47849?amount=null
287,P48857,رحلات العمرة للمتعففين,"83,750ر.س",19/10/2024,335,المواطنون والمقيمون بالمملكة,"8,299",جمعية الدعوة والارشاد وتوعية الجاليات بطلعة التمياط,طلعة التمياط,https://ehsan.sa/projects/0/47858?amount=null
288,P48847,توفير صهاريج سقيا الماء,"380,000ر.س",18/10/2024,"5,000",المواطنون والمقيمون بالمملكة,"36,619",جمعية البر الخيرية بالخشيبي,بريدة,https://ehsan.sa/projects/0/47848?amount=null
289,P48842,الرعاية الصحية لمرضى الفشل الكلوي,"300,000ر.س",17/10/2024,50,المقيمون بالمملكة,"24,277",ربيع طيبة لرعاية مرضى الفشل الكلوي,المدينة المنورة,https://ehsan.sa/projects/0/47843?amount=null
290,P48843,كفالة الأرامل والمطلقات,"264,000ر.س",17/10/2024,66,المواطنون والمقيمون بالمملكة,"18,770",جمعية البر الأهلية ببالشهم,بالشهم,https://ehsan.sa/projects/0/47844?amount=null
291,P48828,دعم المقبلين على الزواج,"215,000ر.س",16/10/2024,43,المواطنون,"18,318",جمعية التنمية الأسرية بالليث,الليث,https://ehsan.sa/projects/0/47829?amount=null
292,P48819,إعانة أسر السجناء,"315,000ر.س",15/10/2024,12,المواطنون,"29,524",جمعية البر الأهلية بيشة,بيشة,https://ehsan.sa/projects/0/47820?amount=null
293,P48829,التكفل بالعمرة للمتعففين,"300,000ر.س",15/10/2024,"2,500",المواطنون,"30,335",جمعية الدعوة والإرشاد وتوعية الجاليات بصمخ,صمخ,https://ehsan.sa/projects/0/47830?amount=null
294,P48836,كفالة حلقات تحفيظ القرآن الكريم,"210,600ر.س",13/10/2024,78,المواطنون,"19,791",الجمعية الخيرية  لتحفيظ القرآن الكريم بتمير,تمير,https://ehsan.sa/projects/0/47839?amount=null
295,P48815,دعم المقبلين على الزواج,"250,000ر.س",12/10/2024,50,المواطنون,"20,419",الجمعية الخيرية لمساعدة الشباب على الزواج والتوجيه الأسري بجدة,جدة,https://ehsan.sa/projects/0/47816?amount=null
296,P48808,تأثيث منازل كبار السن,"300,000ر.س",11/10/2024,100,المواطنون,"27,280",جمعية بالوالدين إحسانا برّكم,مكة المكرمة,https://ehsan.sa/projects/0/47809?amount=null
297,P48826,الأجهزة الطبية للمرضى المتعففين,"100,000ر.س",11/10/2024,96,المواطنون والمقيمون بالمملكة,"6,142",جمعية مساند للرعاية المنزلية,سكاكا,https://ehsan.sa/projects/0/47827?amount=null
298,P48823,العمليات الجراحية للمتعففين,"250,000ر.س",11/10/2024,16,المواطنون,"9,082",جمعية البر الخيرية بالربوعة,الربوعة,https://ehsan.sa/projects/0/47826?amount=null
299,P48840,سقيا الماء للأسر المتعففة,"33,000ر.س",11/10/2024,110,المواطنون,"2,327",جمعية البر بروام بمحافظة رجال المع,روام,https://ehsan.sa/projects/0/47841?amount=null
300,P48816,كفالة رواتب معلمي تحفيظ القرآن الكريم,"225,000ر.س",10/10/2024,50,المواطنون والمقيمون بالمملكة,"18,718",جمعية تحفيظ القرآن الكريم بمحافظة ثادق والمحمل بينة,ثادق,https://ehsan.sa/projects/0/47817?amount=null
301,P48834,خزانات السقيا في المناطق النائية,"100,000ر.س",10/10/2024,"10,000",المواطنون والمقيمون بالمملكة,"8,250",رعاية البيئة الخضراء,السليل,https://ehsan.sa/projects/0/47835?amount=null
302,P48802,طباعة ونشر التفسير الميسر,"460,000ر.س",10/10/2024,"20,000",المواطنون والمقيمون بالمملكة,"49,754",مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,المدينة المنورة,https://ehsan.sa/projects/0/47803?amount=null
303,P48818,الكسوة الشتوية للأسر المتعففة,"119,700ر.س",09/10/2024,133,المواطنون,"9,364",الجمعية الأهلية بالشيحية,الشيحية - بقعاء,https://ehsan.sa/projects/0/47819?amount=null
304,P48797,الأجهزة الكهربائية للمتعففين,"290,000ر.س",09/10/2024,29,المواطنون والمقيمون بالمملكة,"18,383",جمعية البر الأهلية ببالشهم,بالشهم,https://ehsan.sa/projects/0/47798?amount=null
305,P48813,السلال الغذائية للأسر المتعففة,"200,000ر.س",08/10/2024,337,المواطنون والمقيمون بالمملكة,"11,914",جمعية البر الخيرية بالرديفة,الرديفة,https://ehsan.sa/projects/0/47814?amount=null
306,P48830,سقيا الماء للحالات الطارئة,"15,000ر.س",07/10/2024,"1,500",المواطنون,"1,095",جمعية فزعة الشمال للبحث والإنقاذ,حائل,https://ehsan.sa/projects/0/47831?amount=null
307,P48812,دعم المقبلين على الزواج,"155,000ر.س",07/10/2024,31,المواطنون,"10,800",جمعية التنمية الأهلية بوادي الحيا,وادي الحيا,https://ehsan.sa/projects/0/47813?amount=null
308,P48784,دورات الحاسب الآلي للمتعففين,"121,000ر.س",05/10/2024,220,المواطنون,"12,238",جمعية التنمية الأهلية بمدينة الروضة,الروضة,https://ehsan.sa/projects/0/47785?amount=null
309,P48799,سداد إيجار منازل الأسر المتعففة,"204,100ر.س",04/10/2024,10,المواطنون,"9,442",كبار السن,الرياض,https://ehsan.sa/projects/0/47800?amount=null
310,P48803,السلال الغذائية للأسر المتعففة,"55,000ر.س",02/10/2024,110,المواطنون,"2,012",جمعية الخدمات الانسانية بمركز الشويمس,الحائط,https://ehsan.sa/projects/0/47806?amount=null
311,P48807,دعم المقبلين على الزواج,"42,000ر.س",02/10/2024,6,المواطنون,"2,515",جمعية البر الأهلية بخصيبة,خصيبه,https://ehsan.sa/projects/0/47808?amount=null
312,P48796,السلال الغذائية للأسر المتعففة,"94,000ر.س",01/10/2024,188,المواطنون,"4,005",جمعية معين الانسانية,جدة,https://ehsan.sa/projects/0/47797?amount=null
313,P48798,سقيا الماء لضيوف الرحمن,"100,000ر.س",01/10/2024,"100,000",المواطنون والمقيمون بالمملكة,"7,887",جمعية التنمية الأهلية بالعرضية الجنوبية,مكة المكرمة,https://ehsan.sa/projects/0/47799?amount=null
314,P48786,السلال الغذائية للأسر المتعففة,"209,600ر.س",30/09/2024,524,المواطنون,"11,304",جمعية عطاء الخيرية بثربان,ثربان,https://ehsan.sa/projects/0/47787?amount=null
315,P48774,الأجهزة الكهربائية للمتعففين,"320,000ر.س",30/09/2024,115,المواطنون,"23,140",جمعية البر الخيرية بمحافظة عفيف,عفيف,https://ehsan.sa/projects/0/47775?amount=null
316,P48788,سقيا الماء لمراكز تجهيز الموتى,"420,000ر.س",30/09/2024,"140,000",المواطنون والمقيمون بالمملكة,"35,111",جمعية اصدقاء المجتمع الخيرية,جدة,https://ehsan.sa/projects/0/47789?amount=null
317,P48782,كفالة دور تحفيظ القرآن النسائية,"168,000ر.س",29/09/2024,210,المواطنون والمقيمون بالمملكة,"14,401",الجمعية الخيرية لتحفيظ القرآن الكريم بالأفلاج,الأفلاج,https://ehsan.sa/projects/0/47783?amount=null
318,P48781,دعم حلقات تحفيظ القرآن الكريم,"94,730ر.س",27/09/2024,"1,050",المواطنون والمقيمون بالمملكة,"6,372",الجمعية الخيرية لتحفيظ القرآن الكريم بمحافظة تثليث,تثليث,https://ehsan.sa/projects/0/47782?amount=null
319,P48773,العمليات الجراحية لمرضى العيون المحتاجين,"199,500ر.س",27/09/2024,35,المقيمون بالمملكة,"12,398",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47774?amount=null
320,P48778,تيسير نقل المرضى المتعففين,"300,000ر.س",27/09/2024,50,المواطنون,"1,325",جمعية رعاية مرضى السرطان,نجران,https://ehsan.sa/projects/0/47779?amount=null
321,P48787,سقيا الماء لضيوف الرحمن,"100,000ر.س",27/09/2024,"100,000",المواطنون والمقيمون بالمملكة,"6,359",جمعية ملبية لإكرام ضيفات الرحمن,مكة المكرمة,https://ehsan.sa/projects/0/47788?amount=null
322,P48768,علاج وتأهيل الأطفال ذوي الإعاقة,"270,000ر.س",27/09/2024,50,المواطنون والمقيمون بالمملكة,"9,648",جمعية نبتون للتأهيل الطبي,جازان,https://ehsan.sa/projects/0/47772?amount=null
323,P48777,السلال الغذائية للأسر المتعففة,"40,500ر.س",26/09/2024,90,المواطنون,"1,298",الجمعية الأهلية بالشيحية,الشيحية - بقعاء,https://ehsan.sa/projects/0/47778?amount=null
324,P48789,التكفل بالعمرة للمتعففين,"28,000ر.س",26/09/2024,350,المواطنون والمقيمون بالمملكة,451,جمعية الدعوة والإرشاد وتوعية الجاليات في وراخ,العقيق,https://ehsan.sa/projects/0/47790?amount=null
325,P48772,توفير صهاريج سقيا الماء,"296,000ر.س",26/09/2024,"1,200",المواطنون,"18,175",جمعية البر الخيرية بمحافظة قرية العليا,قرية العليا,https://ehsan.sa/projects/0/47773?amount=null
326,P48757,تأثيث منازل المتعففين,"360,000ر.س",26/09/2024,30,المواطنون,"24,181",جمعية التكافل النسائية بجازان,جازان,https://ehsan.sa/projects/0/47758?amount=null
327,P48625,خدمات الرعاية للأسر المنفصلة,"600,000ر.س",26/09/2024,"2,100",المواطنون والمقيمون بالمملكة,"54,727",جمعية أمان للتنمية الأسرية,الطائف,https://ehsan.sa/projects/0/47626?amount=null
328,P48743,رعاية كبار السن المتعففين,"362,000ر.س",26/09/2024,181,المواطنون,"26,900",جمعية البر الخيرية بمحافظة هروب,هروب,https://ehsan.sa/projects/0/47744?amount=null
329,P48749,ترميم منازل المتعففين,"149,700ر.س",25/09/2024,3,المواطنون,"9,252",جمعية سكني الجميل بجازان,الحكامية,https://ehsan.sa/projects/0/47750?amount=null
330,P48741,الأجهزة الكهربائية للمتعففين,"220,000ر.س",25/09/2024,110,المواطنون,"19,438",جمعية خير للخدمات الإنسانية بمركز الجرذاوية,الجرذاوية,https://ehsan.sa/projects/0/47743?amount=null
331,P48767,كسوة الأسر المتعففة,"49,800ر.س",24/09/2024,166,المواطنون,"3,828",جمعية الخدمات الانسانية بقناء,حائل,https://ehsan.sa/projects/0/47768?amount=null
332,P48755,رعاية وتأهيل أطفال ذوي الإعاقة,"210,000ر.س",24/09/2024,30,المواطنون,"15,491",جمعية امل لرعاية ذوي الاعاقة واسرهم,بقعاء,https://ehsan.sa/projects/0/47756?amount=null
333,P48764,سقيا الماء للأسر المتعففة,"300,000ر.س",24/09/2024,"300,000",المواطنون والمقيمون بالمملكة,"28,292",جمعية حفظ النعمة بمنطقة مكة المكرمة,جدة,https://ehsan.sa/projects/0/47765?amount=null
334,P48765,كسوة الأسر المتعففة,"51,500ر.س",23/09/2024,103,المواطنون,"5,588",جمعية البر الخيرية بمركز نابع داما,نابع داما,https://ehsan.sa/projects/0/47766?amount=null
335,P48766,المستلزمات المدرسية للأيتام,"50,000ر.س",23/09/2024,200,المواطنون,"4,218",جمعية وابل لرعاية الايتام,الخفجي,https://ehsan.sa/projects/0/47767?amount=null
336,P48744,زراعة الأشجار لمكافحة التصحر,"91,500ر.س",20/09/2024,"2,850",المواطنون والمقيمون بالمملكة,"13,685",جمعية التنمية الاهلية بقرن ظبي,قرن ظبي,https://ehsan.sa/projects/0/47745?amount=null
