,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL
986,P47902,توفير كسوة العيد للأسر المحتاجة,"202,800ر.س",01/04/2024,676,المواطنون,"15,010",جمعية فتاة الاحساء التنموية الخيرية,الأحساء,https://ehsan.sa/projects/0/46903?amount=null
987,P48036,سقيا الماء,"200,000ر.س",01/04/2024,"100,000",المواطنون والمقيمون بالمملكة,"12,780",الجمعية الخيرية للعمل التطوعي بتبوك,حالة عمار,https://ehsan.sa/projects/0/47037?amount=null
988,P48000,دعم المقبلين على الزواج,"250,000ر.س",01/04/2024,50,المواطنون,"8,994",الجمعية الخيرية لمساعدة الشباب على الزواج والتوجيه الأسري بجدة,جدة,https://ehsan.sa/projects/0/47001?amount=null
989,P48050,سداد إيجارات الأسر المتعففة,"300,000ر.س",01/04/2024,20,المواطنون,"9,426",جمعية البر الخيرية بالجوف,سكاكا,https://ehsan.sa/projects/0/47051?amount=null
990,P48039,رحلات العمرة للمحتاجين,"90,000ر.س",01/04/2024,300,المواطنون والمقيمون بالمملكة,"2,411",جمعية الدعوة والإرشاد وتوعية الجاليات بالعقربية,الخبر,https://ehsan.sa/projects/0/47043?amount=null
991,P48048,عملية قلب مفتوح لمريض متعفف,"60,845ر.س",01/04/2024,1,المقيمون بالمملكة,"3,232",جمعية الإحسان الطبية الخيرية,جازان,https://ehsan.sa/projects/0/47049?amount=null
992,P48047,عملية إعادة مسار لمريضة متعففة,"37,375ر.س",01/04/2024,1,المقيمون بالمملكة,762,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47048?amount=null
993,P48023,دعم المقبلين على الزواج,"180,000ر.س",01/04/2024,9,المواطنون,"7,968",جمعية البر الخيرية بالحرجة,الحرجة,https://ehsan.sa/projects/0/47024?amount=null
994,P48046,عملية توسيع شرايين لمريضة متعففة,"30,575ر.س",01/04/2024,1,المقيمون بالمملكة,680,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47047?amount=null
995,P48044,جلسات العلاج الكيميائي لمريضة سرطان الثدي,"77,660ر.س",01/04/2024,1,المقيمون بالمملكة,"1,094",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47045?amount=null
996,P48034,إزالة الأورام الليفية لمريضة متعففة,"31,597ر.س",01/04/2024,1,المقيمون بالمملكة,919,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47035?amount=null
997,P47862,عمليات العيون الجراحية للأطفال,"385,000ر.س",01/04/2024,35,المواطنون والمقيمون بالمملكة,"12,981",جمعية ابصار الخيرية لتأهيل وخدمة ذوي الاعاقة البصرية,جدة,https://ehsan.sa/projects/0/46863?amount=null
998,P48024,إفطار الصائمين,"300,000ر.س",01/04/2024,"30,000",المواطنون والمقيمون بالمملكة,"16,957",جمعية البر الخيرية بأبها,أبها,https://ehsan.sa/projects/0/47025?amount=null
999,P48026,كفالة الأرامل والمطلقات,"291,000ر.س",01/04/2024,291,المواطنون,"7,402",جمعية فتاة ثقيف الخيرية النسائية بالطائف,الطائف,https://ehsan.sa/projects/0/47027?amount=null
1000,P47999,دعم الأسر النازحة,"180,000ر.س",01/04/2024,60,المواطنون,"3,201",جمعية البر الخيرية بالنماص,النماص,https://ehsan.sa/projects/0/47000?amount=null
1001,P48027,رحلات العمرة للمحتاجين,"60,000ر.س",01/04/2024,400,المقيمون بالمملكة,"4,699",جمعية الدعوة والإرشاد وتوعية الجاليات بالراكة,الخبر,https://ehsan.sa/projects/0/47028?amount=null
1002,P48025,توفير وجبات السحور للمحتاجين,"214,500ر.س",01/04/2024,"19,500",المواطنون والمقيمون بالمملكة,"19,881",جمعية الدعوة والإرشاد وتوعية الجاليات بوسط بيشة,بيشة,https://ehsan.sa/projects/0/47026?amount=null
1003,P47998,سقيا الماء,"600,000ر.س",01/04/2024,"600,000",المواطنون والمقيمون بالمملكة,"43,661",جمعية سبل للخدمات الإنسانية,مكة المكرمة,https://ehsan.sa/projects/0/46999?amount=null
1004,P47976,جلسات العلاج الطبيعي لذوي الإعاقة,"249,980ر.س",01/04/2024,29,المواطنون والمقيمون بالمملكة,"20,105",جمعية التأهيل والعلاج الطبيعي,المدينة المنورة,https://ehsan.sa/projects/0/46977?amount=null
1005,P48001,كسوة العيد,"194,400ر.س",01/04/2024,162,المواطنون,"14,885",جمعية روافد الخيرية النسائية,العيص,https://ehsan.sa/projects/0/47002?amount=null
1006,P48029,التكفل بالعمرة للجاليات,"70,000ر.س",31/03/2024,350,المواطنون والمقيمون بالمملكة,"4,402",جمعية الدعوة والارشاد وتوعية الجاليات بهجرة ابن شريم,ابن شريم,https://ehsan.sa/projects/0/47030?amount=null
1007,P48022,تفريج كرب الأسر المحتاجة,"300,600ر.س",31/03/2024,167,المواطنون,"13,406",جمعية البر بقرى الفحو,أضم,https://ehsan.sa/projects/0/47023?amount=null
